,precision,recall,f1-score,support
GALAXY,0.6538148436823418,1.0,0.7906747798037347,75496.0
QSO,0.0,0.0,0.0,23429.0
STAR,0.0,0.0,0.0,16545.0
accuracy,0.6538148436823418,0.6538148436823418,0.6538148436823418,0.6538148436823418
macro avg,0.21793828122744727,0.3333333333333333,0.2635582599345782,115470.0
weighted avg,0.427473849819365,0.6538148436823418,0.5169549075609488,115470.0
