param_name,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,mean_best_iteration
lr003_leaves63,0.9682340083173551,0.9567559114836309,0.9572760610248653,1259
lr003_leaves63_more_regularized,0.9681422091047498,0.9566246588908008,0.9571675439356392,1308
baseline_lr003_leaves31,0.9680452137102991,0.9565281087234278,0.9570393652894422,2174
lr002_leaves31,0.9680521419527598,0.9565250577120121,0.957017358012873,3393
