param_name,fold,accuracy,balanced_accuracy,macro_f1,best_iteration
baseline_lr003_leaves31,1,0.9681042695072313,0.955683841595425,0.9570659940716547,2079
baseline_lr003_leaves31,2,0.9685286221529401,0.9576283384131449,0.9576665578882003,2227
baseline_lr003_leaves31,3,0.9672292996388641,0.9559898480851313,0.9559224307233244,2104
baseline_lr003_leaves31,4,0.9685196892672492,0.9565046068422309,0.9576352283425208,2423
baseline_lr003_leaves31,5,0.9678441832872893,0.9568338930293444,0.95690735155803,2039
lr002_leaves31,1,0.9683380964752749,0.9558932276421092,0.9573901644405156,3501
lr002_leaves31,2,0.9686065644756213,0.9577915789072172,0.9577949018232066,3378
lr002_leaves31,3,0.9674631286319272,0.956283648484352,0.9562101786198552,3842
lr002_leaves31,4,0.9682252379426513,0.956210876631217,0.957188142553458,3402
lr002_leaves31,5,0.9676276749603789,0.9564459436961874,0.956505235417903,2842
lr003_leaves63,1,0.9686238849917728,0.9565957885149373,0.957941897242061,1560
lr003_leaves63,2,0.9687624491209839,0.9580518883228218,0.9579883831889018,1342
lr003_leaves63,3,0.9674631286319272,0.9561718237490178,0.9562268265751771,1048
lr003_leaves63,4,0.9683205016064917,0.9561670787780052,0.9572895390503353,1219
lr003_leaves63,5,0.9680000692826646,0.9567929603275133,0.9569359653689179,1129
lr003_leaves63_more_regularized,1,0.96858924395947,0.9564343517839081,0.9578047332153216,1560
lr003_leaves63_more_regularized,2,0.9683034554429722,0.957248128202861,0.957345779974412,1056
lr003_leaves63_more_regularized,3,0.9676103542942261,0.9565911483896694,0.9564691196545173,1437
lr003_leaves63_more_regularized,4,0.9683984446041795,0.9563228578677206,0.9574819098025205,1438
lr003_leaves63_more_regularized,5,0.9678095419549836,0.9565268256716272,0.9567389592876842,1053
