,precision,recall,f1-score,support
GALAXY,0.9806776395239969,0.957308996503126,0.9688524260521606,75496.0
QSO,0.950937224808152,0.9679030261641556,0.9593451222607665,23429.0
STAR,0.863661720406114,0.9357509821698399,0.8982623074468393,16545.0
accuracy,0.9563696198146705,0.9563696198146705,0.9563696198146705,0.9563696198146705
macro avg,0.931758861579421,0.9536543349457071,0.9421532852532555,115470.0
weighted avg,0.9578767686641814,0.9563696198146705,0.9568089504060739,115470.0
