,precision,recall,f1-score,support
GALAXY,0.9648249761003653,0.9758795167955918,0.9703207622961075,75496.0
QSO,0.9593471555860178,0.9558666609757138,0.9576037457507537,23429.0
STAR,0.9096733269901681,0.866787549108492,0.8877127824203033,16545.0
accuracy,0.956187754395081,0.956187754395081,0.956187754395081,0.956187754395081
macro avg,0.9446151528921837,0.9328445756265992,0.9385457634890549,115470.0
weighted avg,0.9558111725898528,0.956187754395081,0.9559040652519724,115470.0
