,precision,recall,f1-score,support
GALAXY,0.9757009098952762,0.978634629649253,0.9771655678188588,75496.0
QSO,0.9662613461209111,0.9632506722438005,0.9647536603612269,23429.0
STAR,0.9314867915319383,0.9228165608945301,0.9271314063638572,16545.0
accuracy,0.9675153719580843,0.9675153719580843,0.9675153719580843,0.9675153719580843
macro avg,0.9578163491827084,0.9549006209291945,0.9563502115146476,115470.0
weighted avg,0.9674504368027759,0.9675153719580843,0.9674780837875271,115470.0
